enota,leto,spremenljivka,vrednost
1,2005,Urban population (percent),49.2
1,2005,Urban population (percent growth rate per annum),2.3
1,2005,Rural population (percent growth rate per annum),0.3
1,2010,Urban population (percent),51.7
1,2010,Urban population (percent growth rate per annum),2.2
1,2010,Rural population (percent growth rate per annum),0.2
1,2015,Urban population (percent),53.9
1,2015,Urban population (percent growth rate per annum),2.0
1,2015,Rural population (percent growth rate per annum),0.2
1,2018,Urban population (percent),55.3
2,2005,Urban population (percent),36.9
2,2005,Urban population (percent growth rate per annum),3.5
2,2005,Rural population (percent growth rate per annum),1.9
2,2010,Urban population (percent),38.9
2,2010,Urban population (percent growth rate per annum),3.6
2,2010,Rural population (percent growth rate per annum),1.9
2,2015,Urban population (percent),41.2
2,2015,Urban population (percent growth rate per annum),3.7
2,2015,Rural population (percent growth rate per annum),1.8
2,2018,Urban population (percent),42.5
15,2005,Urban population (percent),49.3
15,2005,Urban population (percent growth rate per annum),2.1
15,2005,Rural population (percent growth rate per annum),1.3
15,2010,Urban population (percent),50.5
15,2010,Urban population (percent growth rate per annum),2.1
15,2010,Rural population (percent growth rate per annum),1.2
15,2015,Urban population (percent),51.4
15,2015,Urban population (percent growth rate per annum),2.3
15,2015,Rural population (percent growth rate per annum),1.6
15,2018,Urban population (percent),52.0
202,2005,Urban population (percent),33.7
202,2005,Urban population (percent growth rate per annum),4.1
202,2005,Rural population (percent growth rate per annum),2.0
202,2010,Urban population (percent),36.1
202,2010,Urban population (percent growth rate per annum),4.1
202,2010,Rural population (percent growth rate per annum),2.0
202,2015,Urban population (percent),38.8
202,2015,Urban population (percent growth rate per annum),4.1
202,2015,Rural population (percent growth rate per annum),1.9
202,2018,Urban population (percent),40.4
14,2005,Urban population (percent),22.5
14,2005,Urban population (percent growth rate per annum),4.2
14,2005,Rural population (percent growth rate per annum),2.4
14,2010,Urban population (percent),24.4
14,2010,Urban population (percent growth rate per annum),4.4
14,2010,Rural population (percent growth rate per annum),2.4
14,2015,Urban population (percent),26.6
14,2015,Urban population (percent growth rate per annum),4.6
14,2015,Rural population (percent growth rate per annum),2.2
14,2018,Urban population (percent),28.0
17,2005,Urban population (percent),42.6
17,2005,Urban population (percent growth rate per annum),4.4
17,2005,Rural population (percent growth rate per annum),2.1
17,2010,Urban population (percent),45.2
17,2010,Urban population (percent growth rate per annum),4.4
17,2010,Rural population (percent growth rate per annum),2.3
17,2015,Urban population (percent),47.9
17,2015,Urban population (percent growth rate per annum),4.3
17,2015,Rural population (percent growth rate per annum),2.1
17,2018,Urban population (percent),49.5
18,2005,Urban population (percent),56.5
18,2005,Urban population (percent growth rate per annum),2.3
18,2005,Rural population (percent growth rate per annum),0.1
18,2010,Urban population (percent),59.4
18,2010,Urban population (percent growth rate per annum),2.1
18,2010,Rural population (percent growth rate per annum),-0.2
18,2015,Urban population (percent),62.1
18,2015,Urban population (percent growth rate per annum),2.3
18,2015,Rural population (percent growth rate per annum),0.1
18,2018,Urban population (percent),63.6
11,2005,Urban population (percent),37.8
11,2005,Urban population (percent growth rate per annum),4.4
11,2005,Rural population (percent growth rate per annum),1.6
11,2010,Urban population (percent),41.1
11,2010,Urban population (percent growth rate per annum),4.4
11,2010,Rural population (percent growth rate per annum),1.6
11,2015,Urban population (percent),44.5
11,2015,Urban population (percent growth rate per annum),4.3
11,2015,Rural population (percent growth rate per annum),1.6
11,2018,Urban population (percent),46.4
21,2005,Urban population (percent),80.0
21,2005,Urban population (percent growth rate per annum),1.1
21,2005,Rural population (percent growth rate per annum),0.1
21,2010,Urban population (percent),80.8
21,2010,Urban population (percent growth rate per annum),1.1
21,2010,Rural population (percent growth rate per annum),0.1
21,2015,Urban population (percent),81.6
21,2015,Urban population (percent growth rate per annum),1.0
21,2015,Rural population (percent growth rate per annum),-0.1
21,2018,Urban population (percent),82.2
419,2005,Urban population (percent),77.1
419,2005,Urban population (percent growth rate per annum),1.7
419,2005,Rural population (percent growth rate per annum),-0.1
419,2010,Urban population (percent),78.6
419,2010,Urban population (percent growth rate per annum),1.6
419,2010,Rural population (percent growth rate per annum),-0.1
419,2015,Urban population (percent),79.9
419,2015,Urban population (percent growth rate per annum),1.5
419,2015,Rural population (percent growth rate per annum),-0.2
419,2018,Urban population (percent),80.7
29,2005,Urban population (percent),65.4
29,2005,Urban population (percent growth rate per annum),1.7
29,2005,Rural population (percent growth rate per annum),-0.6
29,2010,Urban population (percent),67.8
29,2010,Urban population (percent growth rate per annum),1.5
29,2010,Rural population (percent growth rate per annum),-0.6
29,2015,Urban population (percent),70.0
29,2015,Urban population (percent growth rate per annum),1.4
29,2015,Rural population (percent growth rate per annum),-0.7
29,2018,Urban population (percent),71.3
13,2005,Urban population (percent),70.3
13,2005,Urban population (percent growth rate per annum),1.9
13,2005,Rural population (percent growth rate per annum),0.3
13,2010,Urban population (percent),72.1
13,2010,Urban population (percent growth rate per annum),2.1
13,2010,Rural population (percent growth rate per annum),0.4
13,2015,Urban population (percent),73.7
13,2015,Urban population (percent growth rate per annum),1.9
13,2015,Rural population (percent growth rate per annum),0.2
13,2018,Urban population (percent),74.7
5,2005,Urban population (percent),81.1
5,2005,Urban population (percent growth rate per annum),1.7
