naslov,leto,oskar,stevilo
Oppenheimer,2023,FALSE,6
Oppenheimer,2023,TRUE,7
Poor Things,2023,FALSE,7
Poor Things,2023,TRUE,4
The Zone of Interest,2023,FALSE,3
The Zone of Interest,2023,TRUE,2
American Fiction,2023,FALSE,4
American Fiction,2023,TRUE,1
Anatomy of a Fall,2023,FALSE,4
Anatomy of a Fall,2023,TRUE,1
Barbie,2023,FALSE,7
Barbie,2023,TRUE,1
The Boy and the Heron,2023,FALSE,0
The Boy and the Heron,2023,TRUE,1
Godzilla Minus One,2023,FALSE,0
Godzilla Minus One,2023,TRUE,1
The Holdovers,2023,FALSE,4
The Holdovers,2023,TRUE,1
The Last Repair Shop,2023,FALSE,0
The Last Repair Shop,2023,TRUE,1
20 Days in Mariupol,2023,FALSE,0
20 Days in Mariupol,2023,TRUE,1
War Is Over! Inspired by the Music of John and Yoko,2023,FALSE,0
War Is Over! Inspired by the Music of John and Yoko,2023,TRUE,1
The Wonderful Story of Henry Sugar,2023,FALSE,0
The Wonderful Story of Henry Sugar,2023,TRUE,1
Everything Everywhere All at Once,2022,FALSE,4
Everything Everywhere All at Once,2022,TRUE,7
All Quiet on the Western Front,2022,FALSE,5
All Quiet on the Western Front,2022,TRUE,4
The Whale,2022,FALSE,1
The Whale,2022,TRUE,2
Top Gun: Maverick,2022,FALSE,5
Top Gun: Maverick,2022,TRUE,1
Black Panther: Wakanda Forever,2022,FALSE,4
Black Panther: Wakanda Forever,2022,TRUE,1
Avatar: The Way of Water,2022,FALSE,3
Avatar: The Way of Water,2022,TRUE,1
Women Talking,2022,FALSE,1
Women Talking,2022,TRUE,1
Guillermo del Toro's Pinocchio,2022,FALSE,0
Guillermo del Toro's Pinocchio,2022,TRUE,1
Navalny,2022,FALSE,0
Navalny,2022,TRUE,1
The Elephant Whisperers,2022,FALSE,0
The Elephant Whisperers,2022,TRUE,1
An Irish Goodbye,2022,FALSE,0
An Irish Goodbye,2022,TRUE,1
"The Boy, the Mole, the Fox and the Horse",2022,FALSE,0
"The Boy, the Mole, the Fox and the Horse",2022,TRUE,1
RRR,2022,FALSE,0
RRR,2022,TRUE,1
CODA,2021,FALSE,0
CODA,2021,TRUE,3
Dune,2021,FALSE,4
Dune,2021,TRUE,6
The Eyes of Tammy Faye,2021,FALSE,0
The Eyes of Tammy Faye,2021,TRUE,2
No Time to Die,2021,FALSE,2
