naslov_nom,naslov_orig,leto,zap_st_podelitev,kategorija,drzava,jezik
Marie-Louise,Marie-Louise,1945,18,Writing,Switzerland,German
Gate of Hell,地獄門,1954,27,Costume Design,Japan,Japanese
The Red Balloon,Le ballon rouge,1956,29,Writing,France,French
Serengeti Shall Not Die,Serengeti darf nicht sterben,1959,32,Documentary Feature,Germany,German
Never on Sunday,Poté tin Kyriakí,1960,33,Music,Greece,Greece
La Dolce Vita,La Dolce Vita,1961,34,Costume Design,Italy,Italian
La Dolce Vita,La Dolce Vita,1961,34,Costume Design,Italy,English
La Dolce Vita,La Dolce Vita,1961,34,Costume Design,Italy,French
La Dolce Vita,La Dolce Vita,1961,34,Costume Design,Italy,German
Divorce Italian Style,Divorzio all'italiana,1962,35,Writing,Italy,Italian
8½,8½,1963,36,Costume Design,Italy,Italian
8½,8½,1963,36,Costume Design,Italy,English
8½,8½,1963,36,Costume Design,Italy,French
8½,8½,1963,36,Costume Design,Italy,German
A Man and a Woman,Un homme et une femme,1966,39,Writing,France,French
Z,Z,1969,42,Film Editing,Algeria,French
Cries and Whispers,Viskningar och rop,1973,46,Cinematography,Sweden,Swedish
Ran,乱,1985,58,Costume Design,Japan,Japanese
Cyrano de Bergerac,Cyrano de Bergerac,1990,63,Costume Design,France,French
The Postman,Il postino,1995,68,Music,Italy,Italian
The Postman,Il postino,1995,68,Music,Italy,Spanish
Talk to Her,Hable con ella,2002,75,Writing,Spain,Spanish
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,Brazil  Argentina  Chile  France  Germany  Peru  United Kingdom  United States,Quechua
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,Brazil  Argentina  Chile  France  Germany  Peru  United Kingdom  United States,Spanish
Letters from Iwo Jima,Letters from Iwo Jima,2006,79,Sound Editing,United States,Japanese
Letters from Iwo Jima,Letters from Iwo Jima,2006,79,Sound Editing,United States,English
RRR,RRR,2022,95,Music,India,Telugu
RRR,RRR,2022,95,Music,India,English
Godzilla Minus One,ゴジラ-1.0,2023,96,Visual Effects,Japan,Japanese
The Boy and the Heron,Kimitachi wa Dō Ikiru ka 君たちはどう生きるか,2023,96,Animated Feature,Japan,Japanese
20 Days in Mariupol,20 днів у Маріуполі,2023,96,Documentary Feature,Ukraine,Ukrainian
20 Days in Mariupol,20 днів у Маріуполі,2023,96,Documentary Feature,Ukraine,English
20 Days in Mariupol,20 днів у Маріуполі,2023,96,Documentary Feature,Ukraine,Russian
Anatomy of a Fall,Anatomie d'une chute,2023,96,Original Screenplay,France,French
Anatomy of a Fall,Anatomie d'une chute,2023,96,Original Screenplay,France,English
