naslov_nom,naslov_orig,leto,zap_st_podelitev,kategorija,drzava,jezik
1945 (18th),Marie-Louise,Marie-Louise,1,Best Foreign Language Film,Switzerland,
1954 (27th),Gate of Hell[A],地獄門,2,Best Foreign Language Film,Japan,
1956 (29th),The Red Balloon,Le ballon rouge,3,Best Foreign Language Film,France,
1959 (32nd),Serengeti Shall Not Die,Serengeti darf nicht sterben,4,Best Foreign Language Film,Germany,
1960 (33rd),Never on Sunday,Poté tin Kyriakí(Ποτέ την Κυριακή),5,Best Foreign Language Film,Greece,
1961 (34th),La Dolce Vita,La Dolce Vita,6,Best Foreign Language Film,Italy,
1962 (35th),Divorce Italian Style,Divorzio all'italiana,7,Best Foreign Language Film,Italy,
1963 (36th),8½[B],8½[B],8,Best Foreign Language Film,Italy,
1966 (39th),A Man and a Woman[B],Un homme et une femme,9,Best Foreign Language Film,France,
1969 (42nd),Z[B],Z[B],10,Best Foreign Language Film,Algeria,
1973 (46th),Cries and Whispers,Viskningar och rop,11,Best Foreign Language Film,Sweden,
1983 (56th),Fanny and Alexander[B],Fanny och Alexander,12,Best Foreign Language Film,Sweden,
1985 (58th),Ran,乱,13,Best Foreign Language Film,Japan,
1990 (63rd),Cyrano de Bergerac,Cyrano de Bergerac,14,Best Foreign Language Film,France,
1995 (68th),The Postman,Il postino,15,Best Foreign Language Film,Italy,
1998 (71st),Life Is Beautiful[B],La vita è bella,16,Best Foreign Language Film,Italy,
2000 (73rd),"Crouching Tiger, Hidden Dragon[B][E]",臥虎藏龍,17,Best Foreign Language Film,Taiwan  China  Hong Kong  United States,
2002 (75th),Talk to Her,Hable con ella,18,Best Foreign Language Film,Spain,
2004 (77th),The Motorcycle Diaries[E],Diarios de motocicleta,19,Best Foreign Language Film,Brazil  Argentina  Chile  France  Germany  Peru  United Kingdom  United States,
2006 (79th),Letters from Iwo Jima[C][E],Letters from Iwo Jima[C][E],20,Best Foreign Language Film,United States,
2006 (79th),Pan's Labyrinth,El laberinto del fauno,21,Best Foreign Language Film,Mexico  Spain,
2007 (80th),La Vie en Rose[E],La Môme,22,Best Foreign Language Film,France  United Kingdom  Czech Republic,
2011 (84th),The Artist[D],The Artist[D],23,Best Foreign Language Film,France,
2018 (91st),Roma[B][E],Roma[B][E],24,Best Foreign Language Film,Mexico,
2019 (92nd),Parasite[B],기생충,25,Best Foreign Language Film,South Korea,
2022 (95th),All Quiet on the Western Front[B],Im Westen nichts Neues,26,Best Foreign Language Film,Germany,
2022 (95th),RRR,RRR,27,Best Foreign Language Film,India,
2023 (96th),Godzilla Minus One,ゴジラ-1.0,28,Best Foreign Language Film,Japan,
2023 (96th),The Zone of Interest[B],The Zone of Interest[B],29,Best Foreign Language Film,United Kingdom,
2023 (96th),The Boy and the Heron,Kimitachi wa Dō Ikiru ka 君たちはどう生きるか,30,Best Foreign Language Film,Japan,
2023 (96th),20 Days in Mariupol,20 днів у Маріуполі,31,Best Foreign Language Film,Ukraine,
2023 (96th),Anatomy of a Fall,Anatomie d'une chute,32,Best Foreign Language Film,France,
