naslov,leto,oskar,stevilo
12 Years a Slave,2013,False,6
12 Years a Slave,2013,True,3
1917,2019,False,7
1917,2019,True,3
20 Days in Mariupol,2023,False,0
20 Days in Mariupol,2023,True,1
20 Feet from Stardom,2013,False,0
20 Feet from Stardom,2013,True,1
"20,000 Leagues Under the Sea",1954,False,1
"20,000 Leagues Under the Sea",1954,True,2
2001: A Space Odyssey,1968,False,3
2001: A Space Odyssey,1968,True,1
7 Faces of Dr. Lao,1964,False,1
7 Faces of Dr. Lao,1964,True,0
7th Heaven,1927,False,2
7th Heaven,1927,True,3
8 Mile,2002,False,0
8 Mile,2002,True,1
A Beautiful Mind,2001,False,4
A Beautiful Mind,2001,True,4
A Boy and His Dog,1946,False,0
A Boy and His Dog,1946,True,1
A Chance to Live,1949,False,0
A Chance to Live,1949,True,1
A Christmas Carol,1972,False,0
A Christmas Carol,1972,True,1
A Close Shave,1995,False,0
A Close Shave,1995,True,1
A Damsel in Distress,1937,False,1
A Damsel in Distress,1937,True,1
A Double Life,1947,False,2
A Double Life,1947,True,2
A Fantastic Woman,2017,False,0
A Fantastic Woman,2017,True,1
A Farewell to Arms,1932,False,2
A Farewell to Arms,1932,True,2
A Fish Called Wanda,1988,False,2
A Fish Called Wanda,1988,True,1
A Free Soul,1930,False,2
A Free Soul,1930,True,1
A Funny Thing Happened on the Way to the Forum,1966,False,0
A Funny Thing Happened on the Way to the Forum,1966,True,1
A Girl in the River: The Price of Forgiveness,2015,False,0
A Girl in the River: The Price of Forgiveness,2015,True,1
A Greek Tragedy,1986,False,0
A Greek Tragedy,1986,True,1
A Herb Alpert and the Tijuana Brass Double Feature,1966,False,0
A Herb Alpert and the Tijuana Brass Double Feature,1966,True,1
A Hole in the Head,1959,False,0
A Hole in the Head,1959,True,1
A Letter to Three Wives,1949,False,1
A Letter to Three Wives,1949,True,2
A Little Night Music,1977,False,1
A Little Night Music,1977,True,1
A Little Romance,1979,False,1
A Little Romance,1979,True,1
A Man and a Woman,1966,False,2
A Man and a Woman,1966,True,2
A Man for All Seasons,1966,False,2
A Man for All Seasons,1966,True,6
A Midsummer Night's Dream,1935,False,2
A Midsummer Night's Dream,1935,True,2
A Note of Triumph: The Golden Age of Norman Corwin,2005,False,0
A Note of Triumph: The Golden Age of Norman Corwin,2005,True,1
A Passage to India,1984,False,9
A Passage to India,1984,True,2
A Patch of Blue,1965,False,4
A Patch of Blue,1965,True,1
A Place in the Sun,1951,False,3
A Place in the Sun,1951,True,6
A Place to Stand,1967,False,1
A Place to Stand,1967,True,1
A River Runs Through It,1992,False,2
A River Runs Through It,1992,True,1
A Room with a View,1986,False,5
A Room with a View,1986,True,3
A Separation,2011,False,1
A Separation,2011,True,1
A Shocking Accident,1982,False,0
A Shocking Accident,1982,True,1
A Star Is Born,1937,False,6
A Star Is Born,1937,True,1
A Star Is Born,1976,False,3
A Star Is Born,1976,True,1
A Star Is Born,2018,False,7
A Star Is Born,2018,True,1
A Story of Healing,1997,False,0
A Story of Healing,1997,True,1
A Streetcar Named Desire,1951,False,8
A Streetcar Named Desire,1951,True,4
A Thousand Clowns,1965,False,3
A Thousand Clowns,1965,True,1
A Time Out of War,1954,False,0
A Time Out of War,1954,True,1
A Time for Justice,1994,False,0
A Time for Justice,1994,True,1
A Touch of Class,1973,False,4
A Touch of Class,1973,True,1
A Tree Grows in Brooklyn,1945,False,1
A Tree Grows in Brooklyn,1945,True,1
A Year Toward Tomorrow,1966,False,0
A Year Toward Tomorrow,1966,True,1
Adaptation,2002,False,3
Adaptation,2002,True,1
Adventures of Don Juan,1949,False,1
Adventures of Don Juan,1949,True,1
Affliction,1998,False,1
Affliction,1998,True,1
Air Force,1943,False,3
Air Force,1943,True,1
Airport,1970,False,9
Airport,1970,True,1
Aladdin,1992,False,3
Aladdin,1992,True,2
Albert Schweitzer,1957,False,0
Albert Schweitzer,1957,True,1
