drzava,ime
Afghanistan,Kabul
Albania,Tirana
Algeria,Algiers
American Samoa,Pago Pago
Andorra,Andorra la Vella
Angola,Luanda
Anguilla,The Valley
Antigua and Barbuda,Saint John's
Argentina,Buenos Aires
Armenia,Yerevan
Aruba,Oranjestad
Australia,Canberra
Austria,Vienna
Åland,Mariehamn
Azerbaijan,Baku
The Bahamas,Nassau
Bahrain,Manama
Bangladesh,Dhaka
Barbados,Bridgetown
Belarus,Minsk
Belgium,Brussels
Belize,Belmopan
Benin,Porto-Novo
Bermuda,Hamilton
Bhutan,Thimphu
Bolivia,La Paz
Bonaire,Kralendijk
Bosnia and Herzegovina,Sarajevo
Botswana,Gaborone
Brazil,Brasília
British Virgin Islands,Road Town
Brunei,Bandar Seri Begawan
Bulgaria,Sofia
Burkina Faso,Ouagadougou
Burundi,Gitega
Cambodia,Phnom Penh
Cameroon,Yaoundé
Canada,Ottawa
Cape Verde,Praia
Cayman Islands,George Town
Central African Republic,Bangui
Chad,N'Djamena
Chile,Santiago
China,Beijing
Christmas Island,Flying Fish Cove
Cocos Islands,West Island
Colombia,Bogotá
Comoros,Moroni
Republic of the Congo,Brazzaville
Democratic Republic of the Congo,Kinshasa
Cook Islands,Avarua
Costa Rica,San José
Côte d'Ivoire,Yamoussoukro
Croatia,Zagreb
Cuba,Havana
Curaçao,Willemstad
Cyprus,Nicosia
Czech Republic,Prague
Denmark,Copenhagen
Djibouti,Djibouti
Dominica,Roseau
Dominican Republic,Santo Domingo
East Timor,Díli
Ecuador,Quito
Egypt,Cairo
El Salvador,San Salvador
Equatorial Guinea,Malabo
Eritrea,Asmara
Estonia,Tallinn
Eswatini,Mbabane
Ethiopia,Addis Ababa
Falkland Islands,Stanley
Faroe Islands,Tórshavn
Fiji,Suva
Finland,Helsinki
France,Paris
French Guiana,Cayenne
French Polynesia,Papeete
Gabon,Libreville
The Gambia,Banjul
Georgia,Tbilisi
Germany,Berlin
Ghana,Accra
Gibraltar,Gibraltar
Greece,Athens
Greenland,Nuuk
Grenada,St. George's
Guadeloupe,Basse-Terre
Guam,Hagåtña
Guatemala,Guatemala City
Guernsey,Saint Peter Port
Guinea,Conakry
Guinea-Bissau,Bissau
Guyana,Georgetown
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Hong Kong,Hong Kong
Hungary,Budapest
Iceland,Reykjavík
India,New Delhi
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Ireland,Dublin
Isle of Man,Douglas
Israel,Jerusalem
Italy,Rome
Jamaica,Kingston
Japan,Tokyo
Jersey,St. Helier
Jordan,Amman
Kazakhstan,Astana
Kenya,Nairobi
Kiribati,Tarawa
North Korea,Pyongyang
South Korea,Seoul
Kosovo,Pristina
Kuwait,Kuwait City
Kyrgyzstan,Bishkek
Laos,Vientiane
Latvia,Riga
Lebanon,Beirut
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,Luxembourg
Macau,Macau
Madagascar,Antananarivo
Malawi,Lilongwe
Malaysia,Kuala Lumpur
Maldives,Malé
Mali,Bamako
Malta,Valletta
Marshall Islands,Majuro
Martinique,Fort-de-France
Mauritania,Nouakchott
Mauritius,Port Louis
Mayotte,Mamoudzou
Mexico,Mexico City
Federated States of Micronesia,Palikir
Moldova,Chișinău
Monaco,Monaco
Mongolia,Ulaanbaatar
Montenegro,Podgorica
Montserrat,Brades Estate
Morocco,Rabat
Mozambique,Maputo
Myanmar,Naypyidaw
Namibia,Windhoek
Nauru,Yaren
Nepal,Kathmandu
Netherlands,Amsterdam
New Caledonia,Nouméa
New Zealand,Wellington
Nicaragua,Managua
Niger,Niamey
Nigeria,Abuja
Niue,Alofi
Norfolk Island,Kingston
North Macedonia,Skopje
Northern Mariana Islands,Saipan
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Palau,Ngerulmud
Palestine,East Jerusalem
Panama,Panama City
Papua New Guinea,Port Moresby
Paraguay,Asunción
Peru,Lima
Philippines,Manila
Pitcairn Islands,Adamstown
Poland,Warsaw
Portugal,Lisbon
Puerto Rico,San Juan
Qatar,Doha
Réunion,Saint-Denis
Romania,Bucharest
Russia,Moscow
Rwanda,Kigali
Saba,The Bottom
Sahrawi Arab Democratic Republic,Laayoune
Saint Barthélemy,Gustavia
"Saint Helena, Ascension and Tristan da Cunha",Jamestown
Saint Kitts and Nevis,Basseterre
Saint Martin,Marigot
Saint Lucia,Castries
Saint Pierre and Miquelon,Saint-Pierre
Saint Vincent and the Grenadines,Kingstown
Samoa,Apia
San Marino,San Marino
São Tomé and Príncipe,São Tomé
Saudi Arabia,Riyadh
Senegal,Dakar
Serbia,Belgrade
Seychelles,Victoria
Sierra Leone,Freetown
Singapore,Singapore
Sint Maarten,Philipsburg
Slovakia,Bratislava
Slovenia,Ljubljana
Solomon Islands,Honiara
Somalia,Mogadishu
South Africa,Pretoria
South Sudan,Juba
Spain,Madrid
Sri Lanka,Sri Jayawardenapura Kotte
Sint Eustatius,Oranjestad
Sudan,Khartoum
Suriname,Paramaribo
Svalbard,Longyearbyen
Sweden,Stockholm
Switzerland,Bern
Syria,Damascus
Taiwan,Taipei
Tajikistan,Dushanbe
Tanzania,Dodoma
Thailand,Bangkok
Togo,Lomé
Tokelau,
Tonga,Nukuʻalofa
Trinidad and Tobago,Port of Spain
Tunisia,Tunis
Turkey,Ankara
Turkmenistan,Ashgabat
Turks and Caicos Islands,Cockburn Town
Tuvalu,Funafuti
Uganda,Kampala
Ukraine,Kyiv
United Arab Emirates,Abu Dhabi
United Kingdom,London
United States,"Washington, D.C."
United States Virgin Islands,Charlotte Amalie
Uruguay,Montevideo
Uzbekistan,Tashkent
Vanuatu,Port Vila
Vatican City,Vatican City
Venezuela,Caracas
Vietnam,Hanoi
Wallis and Futuna,Mata Utu
Yemen,Sana'a
Zambia,Lusaka
Zimbabwe,Harare
