enota,leto,spremenljivka,vrednost
Africa,2005,Urban population (percent),36.9
Africa,2010,Urban population (percent),38.9
Africa,2015,Urban population (percent),41.2
Africa,2018,Urban population (percent),42.5
Northern Africa,2005,Urban population (percent),49.3
Northern Africa,2010,Urban population (percent),50.5
Northern Africa,2015,Urban population (percent),51.4
Northern Africa,2018,Urban population (percent),52.0
Sub-Saharan Africa,2005,Urban population (percent),33.7
Sub-Saharan Africa,2010,Urban population (percent),36.1
Sub-Saharan Africa,2015,Urban population (percent),38.8
Sub-Saharan Africa,2018,Urban population (percent),40.4
Eastern Africa,2005,Urban population (percent),22.5
Eastern Africa,2010,Urban population (percent),24.4
Eastern Africa,2015,Urban population (percent),26.6
Eastern Africa,2018,Urban population (percent),28.0
Middle Africa,2005,Urban population (percent),42.6
Middle Africa,2010,Urban population (percent),45.2
Middle Africa,2015,Urban population (percent),47.9
Middle Africa,2018,Urban population (percent),49.5
Southern Africa,2005,Urban population (percent),56.5
Southern Africa,2010,Urban population (percent),59.4
Southern Africa,2015,Urban population (percent),62.1
Southern Africa,2018,Urban population (percent),63.6
Western Africa,2005,Urban population (percent),37.8
Western Africa,2010,Urban population (percent),41.1
Western Africa,2015,Urban population (percent),44.5
Western Africa,2018,Urban population (percent),46.4
Northern America,2005,Urban population (percent),80.0
Northern America,2010,Urban population (percent),80.8
Northern America,2015,Urban population (percent),81.6
Northern America,2018,Urban population (percent),82.2
Latin America & the Caribbean,2005,Urban population (percent),77.1
Latin America & the Caribbean,2010,Urban population (percent),78.6
Latin America & the Caribbean,2015,Urban population (percent),79.9
Latin America & the Caribbean,2018,Urban population (percent),80.7
Caribbean,2005,Urban population (percent),65.4
Caribbean,2010,Urban population (percent),67.8
Caribbean,2015,Urban population (percent),70.0
Caribbean,2018,Urban population (percent),71.3
Central America,2005,Urban population (percent),70.3
Central America,2010,Urban population (percent),72.1
Central America,2015,Urban population (percent),73.7
Central America,2018,Urban population (percent),74.7
South America,2005,Urban population (percent),81.1
South America,2010,Urban population (percent),82.4
South America,2015,Urban population (percent),83.5
South America,2018,Urban population (percent),84.1
Asia,2005,Urban population (percent),41.2
Asia,2010,Urban population (percent),44.8
Asia,2015,Urban population (percent),48.0
Asia,2018,Urban population (percent),49.9
Central Asia,2005,Urban population (percent),46.8
Central Asia,2010,Urban population (percent),48.0
Central Asia,2015,Urban population (percent),48.1
Central Asia,2018,Urban population (percent),48.2
Eastern Asia,2005,Urban population (percent),48.3
Eastern Asia,2010,Urban population (percent),54.4
Eastern Asia,2015,Urban population (percent),59.8
Eastern Asia,2018,Urban population (percent),62.9
South-eastern Asia,2005,Urban population (percent),41.1
South-eastern Asia,2010,Urban population (percent),44.3
South-eastern Asia,2015,Urban population (percent),47.2
South-eastern Asia,2018,Urban population (percent),48.9
Southern Asia,2005,Urban population (percent),30.7
Southern Asia,2010,Urban population (percent),32.5
Southern Asia,2015,Urban population (percent),34.5
Southern Asia,2018,Urban population (percent),35.8
Western Asia,2005,Urban population (percent),65.8
Western Asia,2010,Urban population (percent),68.2
Western Asia,2015,Urban population (percent),70.4
Western Asia,2018,Urban population (percent),71.6
Europe,2005,Urban population (percent),71.9
Europe,2010,Urban population (percent),72.9
Europe,2015,Urban population (percent),73.9
Europe,2018,Urban population (percent),74.5
Eastern Europe,2005,Urban population (percent),68.5
Eastern Europe,2010,Urban population (percent),68.9
Eastern Europe,2015,Urban population (percent),69.3
Eastern Europe,2018,Urban population (percent),69.6
Northern Europe,2005,Urban population (percent),78.9
Northern Europe,2010,Urban population (percent),80.1
Northern Europe,2015,Urban population (percent),81.4
Northern Europe,2018,Urban population (percent),82.2
Southern Europe,2005,Urban population (percent),67.8
Southern Europe,2010,Urban population (percent),69.2
Southern Europe,2015,Urban population (percent),70.6
Southern Europe,2018,Urban population (percent),71.5
Western Europe,2005,Urban population (percent),77.3
Western Europe,2010,Urban population (percent),78.5
Western Europe,2015,Urban population (percent),79.4
Western Europe,2018,Urban population (percent),79.9
Oceania,2005,Urban population (percent),68.0
Oceania,2010,Urban population (percent),68.1
Oceania,2015,Urban population (percent),68.1
Oceania,2018,Urban population (percent),68.2
Australia and New Zealand,2005,Urban population (percent),84.9
Australia and New Zealand,2010,Urban population (percent),85.3
Australia and New Zealand,2015,Urban population (percent),85.8
Australia and New Zealand,2018,Urban population (percent),86.1
Melanesia,2005,Urban population (percent),18.9
Melanesia,2010,Urban population (percent),19.0
Melanesia,2015,Urban population (percent),19.2
Melanesia,2018,Urban population (percent),19.4
Micronesia,2005,Urban population (percent),65.9
Micronesia,2010,Urban population (percent),66.6
Micronesia,2015,Urban population (percent),67.9
Micronesia,2018,Urban population (percent),68.7
Polynesia,2005,Urban population (percent),43.5
