naslov_nom,naslov_orig,leto,zap_st_podelitev,kategorija,drzava,jezik
20 Days in Mariupol,20 днів у Маріуполі,2023,96,Documentary Feature,Ukraine,English
20 Days in Mariupol,20 днів у Маріуполі,2023,96,Documentary Feature,Ukraine,Russian
20 Days in Mariupol,20 днів у Маріуполі,2023,96,Documentary Feature,Ukraine,Ukrainian
8½,8½,1963,36,Costume Design,Italy,English
8½,8½,1963,36,Costume Design,Italy,French
8½,8½,1963,36,Costume Design,Italy,German
8½,8½,1963,36,Costume Design,Italy,Italian
A Man and a Woman,Un homme et une femme,1966,39,Writing,France,French
All Quiet on the Western Front,Im Westen nichts Neues,2022,95,Cinematography,Germany,French
All Quiet on the Western Front,Im Westen nichts Neues,2022,95,Cinematography,Germany,German
All Quiet on the Western Front,Im Westen nichts Neues,2022,95,Music,Germany,French
All Quiet on the Western Front,Im Westen nichts Neues,2022,95,Music,Germany,German
All Quiet on the Western Front,Im Westen nichts Neues,2022,95,Production Design,Germany,French
All Quiet on the Western Front,Im Westen nichts Neues,2022,95,Production Design,Germany,German
Anatomy of a Fall,Anatomie d'une chute,2023,96,Original Screenplay,France,English
Anatomy of a Fall,Anatomie d'une chute,2023,96,Original Screenplay,France,French
Cries and Whispers,Viskningar och rop,1973,46,Cinematography,Sweden,Swedish
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,73,Art Direction,Taiwan,Mandarin
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,73,Art Direction,China,Mandarin
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,73,Art Direction,Hong Kong,Mandarin
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,73,Art Direction,United States,Mandarin
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,73,Cinematography,Taiwan,Mandarin
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,73,Cinematography,China,Mandarin
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,73,Cinematography,Hong Kong,Mandarin
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,73,Cinematography,United States,Mandarin
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,73,Music,Taiwan,Mandarin
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,73,Music,China,Mandarin
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,73,Music,Hong Kong,Mandarin
"Crouching Tiger, Hidden Dragon",臥虎藏龍,2000,73,Music,United States,Mandarin
Cyrano de Bergerac,Cyrano de Bergerac,1990,63,Costume Design,France,French
